Physics runs,notes,first file with header errors,total events (M),total good Q at nominal (nC),total lumi (1/nb),unblinded files,unblinded events (M),unblinded good Q at nominal (nC),unblinded lumi (1/nb),trigger config,run log notes,beam current,,
5723,,9999,110.53,240650.828,38.49452435,44,11.245318,24554.139,3.927681901,v7TurboBurst-Lat147,,50,target density (nuclei/barn),0.00002562560392
5724,,9999,119.05999,259927.265,41.57798465,47,12.000275,26438.365,4.229082832,v7TurboBurst-Lat147,,50,nominal target density,0.00002870591948
5725,DAQ errors,340,91.77628,204272.711,32.67547805,34,8.612363,19963.503,3.193363425,v7TurboBurst-Lat147,SVT channel L6b stereo slot sensor 0 occupancy was wrong after beam trip.,50,"nominal lumi, 7 PAC days",5418.645474
5739,,9999,101.78041,191263.319,30.59449474,40,10.311705,18480.309,2.956111602,v7TurboBurst-Lat147,,50,nominal lumi/good lumi,4.595454937
5741,,9999,105.8806,219081.781,35.04433799,45,11.520181,24930.226,3.987840806,v7TurboBurst-Lat147,,50,total good Q / (50 nA-days),1.706345146
5742,,9999,120.63183,261238.651,41.78775405,48,12.261222,26409.987,4.224543485,v7TurboBurst-Lat147,,50,,
5743,,9999,63.53438,135333.838,21.64801079,25,6.320811,14028.635,2.244021498,v7TurboBurst-Lat147,,50,,
5766,,9999,115.19046,208510.701,33.35338724,45,11.566032,20867.401,3.337951016,v7TurboBurst-Lat147.cnf,Production running,50,,
5769,,9999,114.66368,252800.451,40.43797895,45,11.486226,25376.861,4.059284573,v7TurboBurst-Lat147.cnf,,50,,
5771,,9999,118.0392,259044.556,41.43678645,47,11.909041,26598.007,4.254619178,v7TurboBurst-Lat147.cnf,,50,,
5772,,9999,120.01224,264851.127,42.36560598,48,12.139842,27529.609,4.403638304,v7TurboBurst-Lat147.cnf,,50,,
5773,,9999,143.65439,318701.086,50.97944942,57,14.543671,31350.94,5.014898695,v7TurboBurst-Lat147.cnf,,50,,
5775,,9999,60.26211,124308.216,19.88435148,24,6.139592,12432.151,1.988647799,v7TurboBurst-Lat147.cnf,,50,,
5776,,9999,87.5334,185720.877,29.7079253,35,8.958805,18678.051,2.987742427,v7TurboBurst-Lat147.cnf,,50,,
5782,,9999,126.25393,274578.71,43.92163088,50,12.695013,28460.878,4.552604162,v7TurboBurst-Lat147.trg,Run enden normally with 126M Events,50,,
5783,,9999,122.40954,276213.428,44.18312049,49,12.226626,28432.827,4.548117122,v7TurboBurst-Lat147.cnf,,,,
5791,,9999,104.39838,229679.559,36.73955934,42,10.58427,23231.304,3.716081116,v7TurboBurst-Lat147.cnf,Ended run normally,50,,
5795,DAQ errors,370,94.73434,201339.036,32.20620718,37,9.301784,19836.798,3.173095684,v7TurboBurst-Lat147.cnf,L1 bias at 20V at the start of run,49,,
5796,,9999,120.05773,263195.025,42.10069578,48,12.055927,27030.992,4.323879491,v7TurboBurst-Lat147.cnf,,50,,
5797,,9999,104.33673,219691.148,35.14181238,42,10.610141,22407.377,3.584285692,v7TurboBurst-Lat147.cnf,,50,,
totals,,,2144.73962,4590402.313,734.2810955,852,216.488845,467038.36,74.70749081,,,,,
,,,,,,,,,,,,,,
new golden runs,,,,,,,,,,,,,,
5623,,9999,69.07447,96470.673,15.43145603,28,7.068177,10011.412,1.601426208,v7TurboBurst,,50,,
5624,,9999,45.29625,62546.023,10.00486649,18,4.626959,5874.344,0.9396605032,v7TurboBurst,halo counter FSD trip,50,,
5632,,9999,11.80255,16081.064,2.572328194,5,1.233699,1704.815,0.2727023342,v7TurboBurst,Run ended because of our FSD trip; MISSING EPICS,50,,
5634,,9999,92.74977,121730.65,19.47204383,38,9.49709,12263.778,1.961714841,v7TurboBurst,Run ended because of our FSD trip; MISSING EPICS,50,,
5635,,9999,8.76932,12455.018,1.992305606,4,1.005643,1441.476,0.2305786082,v7TurboBurst,Run ended because of our FSD trip; MISSING EPICS,50,,
5636,,9999,20.76382,28217.177,4.513621732,9,2.278866,3269.621,0.5230088184,v7TurboBurst,Run ended because of our FSD trip; MISSING EPICS,50,,
5637,,9999,31.80576,33603.854,5.375274986,12,3.14939,3709.282,0.5933370247,v7TurboBurst,Run ended because of our FSD trip; MISSING EPICS,50,,
5642,,9999,69.24432,97373.284,15.57583775,28,7.122147,10177.104,1.627930313,v7TurboBurst,Run ended because of our FSD trip; MISSING EPICS,50,,
5643,,9999,67.55974,91581.343,14.64935844,27,6.906647,9368.61,1.498603553,v7TurboBurst,Run ended because of our FSD trip,50,,
5644,,9999,74.74856,102728.153,16.432403,30,7.671106,10617.136,1.698317864,v7TurboBurst,Run ended because of our FSD trip,50,,
5648,,9999,8.95875,11992.284,1.918286641,4,1.018977,1475.138,0.2359631842,v7TurboBurst,Run ended because of our FSD trip,50,,
