#COMMENT DO NOT TOUCH. ID and SLOPE
397,-5.97956e-05
351,-5.97956e-05
305,-5.97956e-05
259,-5.97956e-05
222,-5.97956e-05
185,-5.97956e-05
139,-5.97956e-05
93,-5.97956e-05
47,-5.97956e-05
1,-5.97956e-05
398,-5.97956e-05
352,-5.97956e-05
306,-5.97956e-05
260,-5.97956e-05
223,-5.97956e-05
186,-5.97956e-05
140,-5.97956e-05
94,-5.97956e-05
48,-5.97956e-05
2,-5.97956e-05
399,-5.97956e-05
353,-5.97956e-05
307,-5.97956e-05
261,-5.97956e-05
224,-5.97956e-05
187,-5.97956e-05
141,-5.97956e-05
95,-5.97956e-05
49,-5.97956e-05
3,-5.97956e-05
400,-5.97956e-05
354,-5.97956e-05
308,-5.97956e-05
262,-5.97956e-05
225,-5.97956e-05
188,-5.97956e-05
142,-5.97956e-05
96,-5.97956e-05
50,-5.97956e-05
4,-5.97956e-05
401,-5.55912e-05
355,-5.55912e-05
309,-5.55912e-05
263,-5.55912e-05
226,-5.55912e-05
189,-5.55912e-05
143,-5.55912e-05
97,-5.55912e-05
51,-5.55912e-05
5,-5.55912e-05
402,-5.55912e-05
356,-5.55912e-05
310,-5.55912e-05
264,-5.55912e-05
227,-5.55912e-05
190,-5.55912e-05
144,-5.55912e-05
98,-5.55912e-05
52,-5.55912e-05
6,-5.55912e-05
403,-6.6658e-05
357,-6.6658e-05
311,-6.6658e-05
265,-6.6658e-05
228,-6.6658e-05
191,-6.6658e-05
145,-6.6658e-05
99,-6.6658e-05
53,-6.6658e-05
7,-6.6658e-05
404,-7.2519e-05
358,2.25389e-07
312,-6.14958e-05
266,-6.82513e-05
229,-6.55824e-05
192,-0
146,-8.37847e-05
100,-9.45227e-05
54,-8.83606e-05
8,-7.93779e-05
405,-4.91071e-05
359,-6.92033e-05
313,-7.92511e-05
267,-9.66593e-05
230,-5.78271e-05
193,-8.23622e-05
147,-9.97247e-05
101,-0.000100481
55,-0.000215905
9,-5.2333e-05
406,-4.81966e-05
360,-4.81967e-05
314,-6.06605e-05
268,-8.75153e-05
231,-8.09895e-05
194,-0.000102977
148,-8.83603e-05
102,-9.59872e-05
56,-7.71282e-05
10,-6.14955e-05
407,-4.95394e-05
361,-5.40223e-05
315,-7.717e-05
269,-0.000101986
232,-6.34638e-05
195,-9.30468e-05
149,-9.48316e-05
103,-8.43533e-05
57,-6.94085e-05
11,-6.94085e-05
408,-5.18938e-05
362,-6.54476e-05
316,-7.54171e-05
270,-8.98547e-05
233,-6.51328e-05
196,-7.5922e-05
150,-0.000109047
104,-8.96972e-05
58,-8.09928e-05
12,-6.94086e-05
409,-4.05699e-05
363,-6.0473e-05
317,-6.30955e-05
271,-8.83594e-05
234,-8.52554e-05
197,-0.00010831
151,-9.80561e-05
105,-7.71256e-05
59,-7.7487e-05
13,-7.23974e-05
410,-5.15524e-05
364,-5.99718e-05
318,-5.9803e-05
272,-5.23952e-05
152,-6.3209e-05
106,-7.16082e-05
60,-7.4754e-05
14,-2.69218e-05
411,-4.97383e-05
365,-5.34744e-05
319,-5.19143e-05
273,-3.96737e-05
153,-0
107,-6.34637e-05
61,-5.80229e-05
15,-0
412,-4.75617e-05
366,-5.82804e-05
320,-3.74978e-05
274,-3.42582e-05
154,-6.56498e-05
108,-8.37753e-05
62,-7.33301e-05
16,-4.38074e-05
413,-5.64869e-05
367,-4.95796e-05
321,-4.51953e-05
275,-0
155,-6.7481e-05
109,-8.72956e-05
63,-8.32221e-05
17,-7.34029e-05
414,-4.10706e-05
368,-5.71528e-05
322,-6.12797e-05
276,-6.72739e-05
156,-9.2803e-05
110,-8.73091e-05
64,-7.71279e-05
18,-7.96582e-05
415,-4.92102e-05
369,-6.22836e-05
323,-7.66907e-05
277,-8.18159e-05
157,-0.000103514
111,-9.67542e-05
65,-7.86671e-05
19,-7.28035e-05
416,-5.35136e-05
370,-6.38857e-05
324,-6.63693e-05
278,-6.21853e-05
158,-9.95944e-05
112,-8.53888e-05
66,-8.73078e-05
20,-5.58364e-05
417,-4.25769e-05
371,7.42802e-08
325,-6.47514e-05
279,-7.04768e-05
159,-9.30477e-05
113,-9.19744e-05
67,-7.90136e-05
21,-7.79882e-05
418,2.33893e-07
372,-6.74996e-05
326,-7.44978e-05
280,-8.59949e-05
160,-9.36152e-05
114,-9.41701e-05
68,-6.99079e-05
22,-5.40828e-05
419,-0
373,-4.62472e-05
327,-6.42188e-05
281,-9.10258e-05
235,-0.00043122
198,-0
161,-9.10338e-05
115,-6.96558e-05
69,-7.81297e-05
23,-7.04756e-05
420,-9.11376e-05
374,-9.47352e-05
328,-9.27657e-05
282,-9.19747e-05
236,-0.000107391
199,-6.51526e-05
162,-5.70123e-05
116,-5.23414e-05
70,-3.67475e-05
24,-4.22605e-05
421,-9.14485e-05
375,-9.44913e-05
329,-0.000103789
283,-0.000131438
237,-0.000116697
200,-6.69957e-05
163,-3.94873e-05
117,-4.54083e-05
71,-3.11095e-05
25,1.07706e-06
422,-0.000121061
376,-8.91487e-05
330,-8.74187e-05
284,-0.000103928
238,-0.000113957
201,-7.10541e-05
164,-4.77335e-05
118,-3.63959e-05
72,-5.17555e-05
26,-0
423,-8.77512e-05
377,-9.63302e-05
331,-8.74463e-05
285,0.000167333
239,-9.94005e-05
202,-4.03405e-05
165,-4.31339e-05
119,-3.9553e-05
73,-6.11968e-05
27,-3.77438e-05
424,-5.72626e-05
378,-0.000104801
332,-0.000101828
286,-9.17272e-05
240,-8.67804e-05
203,-3.77429e-05
166,1.74207e-07
120,-4.28361e-05
74,2.79374e-07
28,-4.12949e-05
425,-5.39477e-05
379,-8.89553e-05
333,-7.95557e-05
287,-5.60495e-05
241,-2.34016e-05
204,-4.59766e-05
167,-5.45808e-05
121,2.20255e-06
75,6.42192e-06
29,1.07105e-05
426,-8.26607e-05
380,-8.02697e-05
334,-0
288,-6.94092e-05
242,-5.4485e-05
205,-5.43202e-05
168,-5.78919e-05
122,-3.37456e-05
76,-3.50941e-05
30,-2.36764e-05
427,-7.83792e-05
381,-8.37852e-05
335,-6.56536e-05
289,-7.80289e-05
243,-5.85297e-05
206,-4.54571e-05
169,-4.04148e-05
123,-4.37243e-05
77,-4.27719e-05
31,-3.49114e-05
428,-7.36329e-05
382,-9.28976e-05
336,-9.99207e-05
290,-8.28069e-05
244,-7.13935e-05
207,-3.48276e-05
170,-5.23144e-05
124,-3.80535e-05
78,-4.06446e-05
32,-8.33607e-05
429,-8.12079e-05
383,-7.57694e-05
337,-8.67811e-05
291,-8.54092e-05
245,-7.59213e-05
208,-3.08474e-05
171,-2.9968e-05
125,-3.82363e-05
79,-3.77773e-05
33,-3.70826e-05
430,-8.09885e-05
384,-6.84301e-05
338,-7.47534e-05
292,-7.59207e-05
246,-8.23629e-05
209,-3.83587e-05
172,-4.19108e-05
126,-3.7876e-05
80,-3.78244e-05
34,-3.2835e-05
431,-7.53333e-05
385,-8.52552e-05
339,-7.36174e-05
293,-6.8433e-05
247,-7.74777e-05
210,-4.12987e-05
173,-3.2537e-05
127,-3.0021e-05
81,-1.21582e-05
35,-3.02494e-05
432,-7.02142e-05
386,-7.47536e-05
340,-7.69151e-05
294,-6.94086e-05
248,-7.71276e-05
211,-3.26378e-05
174,-4.24702e-05
128,-3.75398e-05
82,-3.23287e-05
36,-2.65743e-05
433,-7.16006e-05
387,-7.93452e-05
341,-7.99476e-05
295,-8.02675e-05
249,-7.74716e-05
212,-3.11074e-05
175,-3.334e-05
129,-3.16372e-05
83,5.05739e-06
37,-2.15088e-05
434,-5.68042e-05
388,-5.68042e-05
342,-5.68042e-05
296,-5.68042e-05
250,-5.68042e-05
213,-5.68042e-05
176,-5.68042e-05
130,-5.68042e-05
84,-5.68042e-05
38,-5.68042e-05
435,-5.30065e-05
389,-5.30065e-05
343,-5.30065e-05
297,-5.30065e-05
251,-5.30065e-05
214,-5.30065e-05
177,-5.30065e-05
131,-5.30065e-05
85,-5.30065e-05
39,-5.30065e-05
436,-4.53042e-05
390,-4.53042e-05
344,-4.53042e-05
298,-4.53042e-05
252,-4.53042e-05
215,-4.53042e-05
178,-4.53042e-05
132,-4.53042e-05
86,-4.53042e-05
40,-4.53042e-05
437,-4.4251e-05
391,-4.4251e-05
345,-4.4251e-05
299,-4.4251e-05
253,-4.4251e-05
216,-4.4251e-05
179,-4.4251e-05
133,-4.4251e-05
87,-4.4251e-05
41,-4.4251e-05
438,-4.4251e-05
392,-4.4251e-05
346,-4.4251e-05
300,-4.4251e-05
254,-4.4251e-05
217,-4.4251e-05
180,-4.4251e-05
134,-4.4251e-05
88,-4.4251e-05
42,-4.4251e-05
439,-2.18187e-07
393,-2.18187e-07
347,-2.18187e-07
301,-2.18187e-07
255,-2.18187e-07
218,-2.18187e-07
181,-2.18187e-07
135,-2.18187e-07
89,-2.18187e-07
43,-2.18187e-07
440,-2.18187e-07
394,-2.18187e-07
348,-2.18187e-07
302,-2.18187e-07
256,-2.18187e-07
219,-2.18187e-07
182,-2.18187e-07
136,-2.18187e-07
90,-2.18187e-07
44,-2.18187e-07
441,-2.18187e-07
395,-2.18187e-07
349,-2.18187e-07
303,-2.18187e-07
257,-2.18187e-07
220,-2.18187e-07
183,-2.18187e-07
137,-2.18187e-07
91,-2.18187e-07
45,-2.18187e-07
442,-2.18187e-07
396,-2.18187e-07
350,-2.18187e-07
304,-2.18187e-07
258,-2.18187e-07
221,-2.18187e-07
184,-2.18187e-07
138,-2.18187e-07
92,-2.18187e-07
46,-2.18187e-07
