Physics runs,notes,Excluded file range,total events (M),total good Q at nominal (nC),total lumi (1/nb), files,10% files,10% events (M),10% good Q at nominal (nC),10% lumi (1/nb),trigger config,run log notes,beam current,,
7629,,,48.44504,358081.62,57.27876257,122,13,5235794,38435.709,6.148178871,v7_200nA ,"Production Run! MCC has to take beam for 10 mins, so run was ende.d",150nA,target density (nuclei/barn),0.00002562560392
7630,,,60.97533,443378.134,70.9227993,150,15,6066998,45100.765,7.214321724,v7_200nA ,Production Run,150nA,nominal target density,0.00002870591948
7636,,,148.21961,1065795.951,170.4847996,366,37,14860219,109606.6,17.53267989,v7_200nA,"Production data at 150nA, collimator position 5.034 after studies",150nA,"nominal lumi, 7 PAC days",21674.5819
7637,,,12.10011,89400.637,14.30053255,30,3,1216318,9400.602,1.503720995,v7_200nA,Single event upset ended run.,150nA,nominal lumi/good lumi,2.015626752
7644,,,150.28874,1172734.611,187.5907156,378,38,15114738,118581.194,18.96825661,v7_200nA,Single event upset at end of run. Occurred at the very end of the run period.,150nA,total good Q / (200 nA-days),3.890319583
7653,,,25.12865,185546.995,29.68011112,64,7,2760280,20574.488,3.291096631,v7_200nA,,150nA,,
7779,svt retracted at start of run.  must use svt position flag,,131.186351,815750.849,130.4875665,368,37,15891482,81471.193,13.03213809,v7_200nA,"Run started when SVT was out, SVT was at 0.5 mm by file 59 (2.7M events)",200nA,,
7780,,,121.44775,666658.31,106.6387129,280,28,12125915,68091.535,10.891927,v7_200nA,,200nA,,
7781,,,151.58051,888555.529,142.1334085,355,36,15515168,82596.327,13.21211461,v7_200nA,,200 nA,,
7782,,,19.41043,106340.975,17.01031027,45,5,2172583,10965.204,1.753994848,v7_200nA,"Run was ended due to hall dropping to restricted, track ramp personal door switch",200 nA,,
7783,,,3.67711,26497.793,4.238588939,9,1,411985,2939.405,0.4701874425,v7_200nA,Run ended due to MCC planning extended beam-down.,200 nA,,
7786,,,4.74687,24459.265,3.912505849,11,2,794879,3331.715,0.5329413792,v7_200nA,Run stopped due to serious RF problem.,200 nA,,
7795,beam blocker removed for a few minutes,,119.55973,753107.011,120.4670535,286,29,12110099,77581.935,12.41001209,v7_200nA,,200 na,,
7796,,,150.76323,827975.643,132.4430454,391,40,15398140,87905.433,14.0613596,v7_200nA,"Beauuuutiful beam, a small number of trips",200 nA,,
7798,,,167.69314,1092256.167,174.7173777,409,41,17032724,103713.407,16.5900043,v7_200nA,Lovely run,200 nA,,
7799,3 files missing,whatever is missing from tape,149.954553,1028437.6,164.508955,365,37,15092591,108530.727,17.36058316,v7_200nA,"Beautiful beam, hardly any trips",200 nA,,
7800,,,159.93384,1045077.815,167.170725,388,39,16096974,104210.687,16.66954924,v7_200nA,:-),200 nA,,
7801,6 files missing,"""    """,140.431569,733468.637,117.3256977,324,32,13440359,80747.617,12.91639482,v7_200nA,,200 nA,,
7803,14 files missing,"""    """,145.443839,891170.787,142.5517454,350,35,14596170,92828.548,14.84886144,v7_200nA,,200 nA,,
7804,,,150.16334,947949.694,151.6341036,363,37,15307896,92717.936,14.83116794,v7_200nA,,200 nA,,
7805,26 files missing,"""    """,130.983413,839683.354,134.3158118,317,31,13056035,76459.812,12.23051722,v7_200nA,junk,200 nA,,
7807,12 files missing,"""    """,110.738242,715947.452,114.5230077,269,27,10993728,77517.061,12.39963484,v7_200nA,,200 nA,,
7947,,,100.00356,1027797.365,164.406543,234,24,10181815,104826.265,16.76801715,v8_200nA,,200 nA,,
7948,,,112.39163,1163170.928,186.0609082,260,26,11324783,118295.961,18.92263072,v8_200nA,,200 nA,,
7949,,,105.62408,1110305.173,177.6044981,246,25,10748715,114260.541,18.27712464,v8_200nA,daq crashed,200 nA,,
7953,,,25.03437,203702.714,32.58430128,56,6,2712856,20852.015,3.335489871,v8_200nA,daq crashed,200 nA,,
7962,live time in mya is -999 for first two minutes of run,0-4,23.011403,234952.791,37.58306593,59,6,2583030,22794.065,3.646140333,v8_200nA,5us holdoff time (normally 3),200 nA,,
7963,,,100.69093,1040512.85,166.4405129,234,24,10388905,108487.216,17.35362314,v8_200nA,run ended normally,200 nA,,
7964,,,100.42676,991637.635,158.6224299,232,24,10298944,107175.496,17.14380031,v8_200nA,,200 nA,,
7965,,,47.88363,490378.224,78.44093719,112,12,5138771,53646.726,8.581334282,v8_200nA,DPM3 crashed  Error message:  SHOULD NEVER BE HERE: len=0,200 nA,,
7966,,,102.29453,995844.888,159.2954224,236,24,10407800,102691.219,16.42649503,v8_200nA,,200 nA,,
7968,,,100.0218,929680.59,148.7117763,230,23,9949162,89878.007,14.37689269,v8_200nA,,200 nA,,
7969,,,9.593,95861.861,15.33407042,23,3,1272090,12984.104,2.076938242,v8_200nA,beam ended when livetime went to zero. DPM11 Crashed,200 nA,,
7970,,,100.43065,897443.481,143.555126,232,24,10324825,99933.306,15.98533906,v8_200nA,a lot of trips; 4 of them FSD. FSD limit was raised to 200k after this run,200 nA,,
